AirName,AircraftModel,Comments,DateFlown,EntertainmentRating,FoodRating,FullReview,GroundServiceRating,OverallScore,Recommended,ReviewDate,ReviewTitle,ReviewrCountry,Route,SeatComfortRating,SeatType,ServiceRating,TravelType,ValueRating,Verified,WifiRating
United,,,Sep-19,0,0," |  San Francisco to Newark. Due to aircraft change, my friend and I were downgraded from 1st class to Economy on this leg of our Business class flight from Australia code sharing with Air New Zealand. We were appalled when given a voucher by way of compensation with so many restrictions attached as to be practically useless to Australian citizens. Beware of using any airline offering a codeshare flight on United Airlines. The substituted aircraft was dirty, smelly and delapidated with a torch hanging from the ceiling in the toilet for illumination. The battery gave out 2 hours into the flight so customers had to use their mobile phones to see and the state of the toilet attested to the fact that this method was inadequate in the extreme. A horrible experience made worse by the inadequate (if not illegal) compensation.",1,1,,15th October 2019,"""A horrible experience""", (Australia) ,San Francisco to Newark,1,Economy Class,1,Couple Leisure,1,1,0
United,,,Oct-19,0,3," |  I’m very disappointed with the Basic Economy fare offering. I had the Basic Economy flight from LGA to Houston and then, connected to Austin. This class of service means you can’t check in online ahead, however when you arrive at the gate, you have unfriendly staff trying to get you to pay for your hand luggage continuously until you board the plane. My seat assignment was the last row against the toilet so no reclining. United basic economy awful and I hope the other airlines don’t follow this “class” of a bad idea! The customer service for this class of fares makes the airline undesirable. I won’t fly United again unless it’s a last resort.",1,1,,14th October 2019,"""won’t fly United again unless it’s a last resort""", (Australia) ,New York to Austin,1,Economy Class,4,Solo Leisure,2,0,0
United,,,Oct-19,1,1," |  New York to Denver. I travel cross country at least twice per month with Southwest or JetBlue. I tried United Airlines on the last trip. Never again. The plane was unkempt, the Internet was spotty at best. No other form of entertainment. Older plane. Extra charge for luggage. Change fee was exorbitant. So many better choices.",3,2,,14th October 2019,"""The plane was unkempt""", (Australia) ,New York to Denver ,2,Premium Economy,2,Business,1,0,1
United,,,Oct-19,4,4," |  I flew from Amsterdam to San Francisco on 23rd September. There was delay of 1,5 hours due to cleaning purposes. When Flying back to Amsterdam there was also a delay of 2 hours due to cleaning purposes. Is this just common policy, or is United Airlines (UA) inaccurately informing its customers? Seems like UA needs to improve its logistics .. on board though everything was splendid.",2,4,,12th October 2019,"""delays due to cleaning purposes""", (Australia) ,San Francisco to Amsterdam,3,Economy Class,4,Solo Leisure,4,0,4
United,Boeing 787-10 / 777-300ER,,Oct-19,5,3," |  Los Angeles to Mumbai via Newark. United's Boeing 787-10 is the best aircraft I have flown on a domestic route within US. My connecting flight from Newark to Mumbai was on a B777-300ER and it felt like a downgrade from B787-10. The three main differences that I experienced were:  B777-300ER had a dense 3-4-3 seating configuration with seats that felt uncomfortably narrow. Boeing 787-10 had a more responsive IFE than B777-300ER. Boeing 787 cabin felt quieter than B777-300ER. The food and service from Newark to Mumbai were outstanding, but it was quite the opposite on the return flight from Mumbai. The midflight snack was a bun with aaloo tikki inside. This would have been a delicious snack, but United served it cold instead of warming it up! Accompanying the sandwich was Parle-G biscuits. United's midflight offerings were a stark contrast to what's offered on other airlines like Emirates, Swiss, & Virgin Atlantic. On a positive note, I was impressed by United's baggage handling in Newark. Not only did United transfer my bags in a tight schedule, but I was able to track my bags on the United app.",4,7,yes,12th October 2019,"""Boeing 787 cabin felt quieter""", (Australia) ,Los Angeles to Mumbai via Newark,3,Economy Class,4,Solo Leisure,4,1,0
United,,,Oct-19,1,1," |  Tulsa to Denver. Terrible communication, for five hours we had no idea if our flight was even going to take off because they told us every two hours it would be two more hours. Terrible communication and worst airline.",1,1,,12th October 2019,"""Terrible communication""", (Australia) ,Tulsa to Denver,1,Economy Class,1,Business,1,1,1
United,Boeing 737-800,,Oct-19,0,0," |  Puerto Vallarta to Houston. I am fully disabled, my wife has very bad knees. We requested wheel chairs as we can not walk far. When in Puerto Vallarta they had wheel chairs ready for us at front entrance into airport. When we landed in Houston there no wheel chairs waiting for us or any other Handicap people on plain. There were about 30 of us from our plain and others that were herded like cattle about 150 yds to a large elevator that is used for equipment. It took us down to the basement were we were left trying fine seats to sit in as there was enough. Me and my wife had to stand for 10 minutes before I found an abandoned cart for to sit on. They were coming every 15 min and take a few people away but they would not tell us what was going on. I asked one of the united people they just said they would get to us. In the mean time I am watching of these people who had wheel play games with each other for over 20 min. And never attempting to help the people needing wheel chair assistance. I decided me and my wife would go back up stairs for help as the seats were very uncomfortable. When we got up stairs and looking to find our way we talked to different airline staff for help with wheel chairs. Both times we waited for 15 mins. No one showed up. We then stopped and talked a man driving a cart who could barely speak English he said he could not help. We ended going through security waiting in line with everyone else and watching people in wheel chairs from other airlines being helped. we ended walking all the way to the train from concourse E. When we got of train at concourse B I seen 2 young men from united with 2 empty wheel chairs. I stopped them told them what was going on. They had people to help but they called and got permission to help to our concourse. The only way we can change the problems in big business is to have large group stop using them. When it starts hurting your pocket book United maybe you will show a little compassion. ",1,2,,10th October 2019,"""no wheel chairs waiting for us""", (Australia) ,Puerto Vallarta to Houston,1,Business Class,1,Couple Leisure,1,1,0
United,Boeing 737,,Oct-19,2,2," | San Francisco to Tampa. United repeatedly forces me to check my carry on bag even though I paid for Economy instead of Basic Economy. They claim that all overhead bins are completely full, yet when I board the plane there is tons of empty space in the overheads. There is clearly no communication between the gate agents who arbitrarily decide when to force people to check bags and the actual space left on the plane. Additionally, there would never even be a problem with overhead space if the flight attendants actually monitored people who put small backpacks in the overhead space instead of under their seat. I specifically do not check a bag because I don’t want to deal with the at least 30 extra minutes to retrieve my luggage from baggage claim. This is a repeated problem and is extremely frustrating to have to wait at baggage claim after a long day of traveling in the cramped United seats.",1,1,,10th October 2019,"""repeatedly forces me to check my carry on bag""", (Australia) ,San Francisco to Tampa,2,Economy Class,2,Couple Leisure,2,1,2
United,,,Oct-19,2,2," | San Francisco to Kahului. I am very unsatisfied with United. Airline representative forced me to check in my carry on even though it met the personal bag size requirement. The fact that it had rollers they forced me to check in personal item and eat up the cost. They tried to rationalize by saying its only $30 dollars. But I can say the same thing to the airline, it’s only $30 dollars and they are providing me with a terrible customer experience and causing a hold up that made me almost missed my flight. Unless this problem gets resolved, it is highly unlikely I will fly with United in the future.",1,1,,9th October 2019,"""terrible customer experience""", (Australia) ,San Francisco to Kahului,2,Economy Class,1,Couple Leisure,1,1,2
United,,,Oct-19,0,0," |  Saint Louis to Chicago. “No Carry On” is the biggest money grab From big airlines I’ve ever seen in 30 years and is a horrible business practice. After United told me I can’t make my direct flight because I had a back pack and didn’t pay for that, which I offered to, I now have to take layovers and miss my ride at my final destination. This refusal to give me the ticket I paid for because I have a carry on now leave a disabled veteran and his wife sleeping at the airport all night. Horrible idea United. ",1,1,,7th October 2019,"""the biggest money grab""", (Australia) ,Saint Louis to Chicago,2,Economy Class,2,Couple Leisure,1,1,0
United,,,Sep-19,4,4," |  I have been a United Mileage Plus member for several years, and was even a Platinum member last year, and Gold this year, but last night I almost tore up my membership card. I booked a couple tickets for my wife and I to Belize and I did my search and pricing for this trip in USD and the total came to $1020.32, but when I went to purchase it with my Canadian credit card it converted it to $1,617.02 CDN. That is a 1.58% exchange rate. That is totally outrageous considering the official exchange rate today is 1.36%. The cost should have been closer to $1,388CDN. I need to know how they can justify a $229 uplift on the exchange rate! I can't. I am extremely unhappy with this. I have cancelled my flights and rebooked with Expedia.com as they actually invoiced me in USD and my final cost in CDN was $1,354. Exactly where it should have been when I booked with United. It's time they revisited their policies and either allow their clients to book in the currency of their choice, or charge an acceptable exchange rate. This is flat out greed on their part. I am glad I was able to work around their insane system and get the price I was quoted.",4,8,yes,28th September 2019,"""charge an acceptable exchange rate""", (Canada) ,Vancouver to Cleveland,3,Economy Class,4,Business,4,1,4
United,Boeing 777,,Sep-19,5,5," | San Francisco to Honolulu. The brickbat is that we were denied entry to the Business Class Lounge at SFO because we were not members of its Lounge group. Ridiculous. We have always had access to Business class lounges as long as we have spent the money with that airline. The departure time was then delayed because of a flat tire. Another brickbat. The plane had been sitting there for two hours and nobody noticed it before? One we took off, the cabin crew on flight UA300 in Business class were fantastic. Nothing was too much trouble and they were really engaging with the passengers. Brilliant crew but I doubt if United management will ever thank them for their service. I tried on United’s website but it is so difficult to get through with all the squares that have to be filled in. However, well-done to the entire crew of UA300.",4,9,yes,28th September 2019,"""cabin crew were fantastic""", (Canada) ,San Francisco to Honolulu,5,Business Class,5,Couple Leisure,5,0,0
United,,,Sep-19,1,1," | Tokyo to Guam. Flights are constantly delayed. From 1 Hour to 2 Hours, then 3 hours. Customer Service is practically non existence. United is even worse than the worst budget airline in the market. Ridiculous in every way you can ever imagine. Bad food. Bad inflight entertainment, rude crew, bad time management. I would only recommend United if you want to experience what it is like to feel and be treated like garbage. Yes, like trash and garbage. That's how they treat you. If you have always been travelling on good airlines and want to try the worst look no more. United Airlines fits the bill. Totally junk airline.",1,1,,28th September 2019,"""Totally junk airline""", (Canada) ,Tokyo to Guam,1,Economy Class,1,Solo Leisure,1,1,1
United,,,Sep-19,1,1," |  Houston to Pittsburgh with United Airlines. Awful customer service and illogical policies. They bury a lot of rules in the fine print, such as not being able to make any changes and only allowing one bag, which are typical changes that anyone would make. Since I had to make changes, and had two normal size bags, this flight cost me twice the original cost, which wasn’t cheap to begin with. Gate agent was also a very unpleasant woman. I’m a frequent traveler and will never choose United again. Just very, very disappointed in this major carrier.",1,1,,26th September 2019,"""flight cost me twice the original cost""", (Canada) ,Houston to Pittsburgh,1,Economy Class,1,Business,1,0,1
United,Boeing 787,,Sep-19,3,1," |  San Francisco to Shanghai. Well today reached an all time high. I am a premier 1K, have flown over 3 Million miles collectively, and I support United even with bad food, low quality service and today United is above the law, let me explain; the electrical outlet on the USB ports where not working and I needed to get my conventional charger from the overhead, about ten minutes to find it in my bag. The passenger from the aisle across jumps up and complains to me about the overhead bin being open, and then complains to the flight attendant. The flight attendant comes over to me in a aggressive manner and dresses me down then proceeds to tell me ""it will get a lot worse for me"" with a threat tone. Really flight attendant, get all your facts in order before you threaten a loyal customer on United, and for United, please address the open complaint I filed. You cannot threaten people without understanding all sides of the situation, maybe some classes on passenger rights is in order.",5,2,,26th September 2019,"""You cannot threaten people""", (Canada) ,San Francisco to Shanghai,1,Economy Class,1,Business,2,1,1
United,Boeing 777,,Sep-19,5,5," |  United is a class show, and particularly business class. However, they took it up a notch with the outstanding service of Miroslav. He was every bit as professional and focused as most United flight attendants. Still, he found a way to take great service even farther. He paid close attention to how he could make the flight better. He went out of his way to offer ice cream, drinks, and food. He had a number of guest to attend to, but he interacted with each of them and did so without seeming rushed. The food on the United flight was great and the business class seating was fantastic .. a real joy to fly for nine hours straight. ",5,10,yes,25th September 2019,"""professional and focused""", (Canada) ,Frankfurt to Washington,5,Business Class,5,Business,4,1,3
United,Boeing 787,,Sep-19,5,5," | I am forever grateful to the ground staff, administration and overall coordination of the team at United for turning a potential disaster into a wonderful trip. I have a mild seizure disorder, which resulted in an episode during our stopover from MEL at LAX to EWR. As a result, I was hospitalized for 3 days. During this time, they offered hotel and food vouchers to my wife, assisted with summoning medical attention. After spending 3 days in hospital I naturally assumed that our onward flights would be forfeited, so we re-booked. After re-booking, we received a call from United, inquiring into my health and overall condition to fly. Not only did they refund our onward booking, but upgraded my sister in-law who had flown in from NJ to assist my wife for the return journey to Newark. I have never seen this level of service or care from an airline before, and am most appreciative of their genuine concern and care that we reached our destination. I was overwhelmed that an organization of that size even knew about it, nor cared to do something about it. I have been a frequent business traveler for 10 years, and was previously a patriotic customer of Qantas. After a few nightmarish encounters (ranging from them pretending to go bankrupt in 2011, and gross mishandling of the Ash Cloud in 2010) I decided to try another airline for travel to the US. United were a breath of fresh air, with their luxurious and friendly cabin service exceeding the standards of even Emirates or Etihad. The welcoming and warm atmosphere in the cabin, combined with a delicious restaurant quality, multi-course meal (with generous portion sizes), plus the most comfortable premium cabin flat-bed seats (that I can actually sleep in, being a taller than average guy) lead to a fantastic experience. Congratulations to the entire United Airlines team, keep up the great work. Sincere Thanks, and I look forward to our next flight with you.",5,10,yes,24th September 2019,"""have never seen this level of service or care""", (Canada) ,Newark to Melbourne via Los Angeles,5,Business Class,5,Couple Leisure,5,1,4
United,,,Sep-19,0,0," |  I’m usually not one to complain on social media, but to say that I’m beyond annoyed is an understatement. We booked our honeymoon trip as a package deal through Costco travel and our flights were booked with United Airlines. The flight there, we had a short layover in San Francisco and the flight was delayed going there so we were literally running to the connecting flight. We made the flight (barely) but our bags did not, so we spent the first 24 hours of our honeymoon without our clothes or toiletries. Flash forward 10 days to our flight home, same situation delayed flight with a short layover, 20+ people were catching the same connecting flight to Chicago. I went up to the desk and overheard several other people ask about if the flight would be informed of the delay. The employee at the United desk in Maui told me that with so many people on the flight they would be informed and that the flight would be held for the 22 people catching it. Flight landed and they switched our arrival gate to the other side of the airport and sat on the runway for a good 20 minutes before we have to wait for the whole plane to deboard. 22 people are running from one side of the airport to the other only to find out that they were not informed of the delay and could not wait an 5 extra minutes for a good portion of their customers, and left without us. Customer service was a nightmare and did the bare minimum to help us with this situation that was completely their fault and one that could have been totally avoided. Now we are stuck in San Francisco for the night without our bags again. We will never fly United again! I have never had such poor service while traveling. Appalling customer service!",1,1,,22nd September 2019,"""Appalling customer service""", (Canada) ,Maui to Chicago,1,Economy Class,1,Couple Leisure,1,0,0
United,Boeing 787,,Sep-19,4,4, |  Tokyo to San Francisco. Very comfortable Business Class seat and service was great. Food also. There was some personable service which was great. Arrived 45 minutes early.,5,9,yes,21st September 2019,"""comfortable Business Class seat""", (Canada) ,Tokyo to San Francisco,5,Business Class,5,Solo Leisure,4,1,0
United,Boeing 777-200,,Sep-19,1,1," |  Phoenix to Amsterdam via Houston. United Airlines is unreliable! We booked preferred seats (economy just behind the economy+ rows, window seat) more than a half year before. The day before the flight the aircraft changed, so we were seated in economy+. The day we flew back, the aircraft was changed again and we were seated in regular economy in the rear of the plane, even not a window seat anymore. No refund whatsoever. Old plane, limited entertainment system, everything is worn out. Service on board (food/drinks) is far below average. Very unfriendly crew, more busy with themselves and trying to serve the dinner asap so that they had the rest of the flight off (constantly going into/out the staff quarters). Economy seats are much smaller than before: upright seats are more bend over than upright, very limited leg space.",3,1,,21st September 2019,"""Very unfriendly crew""", (Canada) ,Phoenix to Amsterdam via Houston,1,Economy Class,1,Couple Leisure,1,1,1
United,,,Sep-19,0,0," |  Rochester to Knoxville via Newark. It is the 4th time I travel with United because I chose a deal through Priceline (the deal was Priceline chooses the airline and time for a much cheaper price. About $150 less). And for the 4th time, my flight is delayed. This flight was delayed 4 hours 15 minutes. I won't even be able to get the rental car I requested because it will be closed at the time of arrival. And they don't even refund or help with anything else. I will pay extra from now on, just so that I don't have to travel through United Airlines.",1,1,,8th September 2019,"""delayed 4 hours 15 minutes""", (United States) ,Rochester to Knoxville via Newark,3,Economy Class,3,Solo Leisure,3,1,0
United,,,Aug-19,1,1," |  Anchorage to Albany. After the first leg of our flight being delayed several hours, we did not make our connecting flight and then were rudely told by the desk agent that they didn't have time to rebook us as they were too busy. Called the 800 number and was told the only option was to wait 13 hours in Newark to get a flight to Albany and that there was only one seat so either my husband or I would have to sit in the airport overnight. To add to this, our luggage was lost as well. Finally ended up renting a car and driving nearly 5 hours home. Was then told on Aug 26 that the last leg would be refunded by a supervisor in the call center. It's 9/6 and still no refund. Called today and was told by the first inept phone agent that the refund never took place and ""I don't know why"". Spoke to a supervisor who said due to a ""system error"" it never happened and that she now processed it, but we have to wait another 7-10 business days. United Airlines has really sunk down to the lowest level of quality. I've flown with them for nearly 20 years, but the last several trips have been a nightmare. The customer service agents are clueless and read from a screen repeatedly ""apologizing for the inconvenience"", which is not the get out of jail free card for bad service that United seems to think it is. We are done with United and will not spend another dime with them. They should take a lesson from even budget airlines such as Frontier as to how to properly provide service I suggest hiring call center employees who have a slight clue and don't simply regurgitate statements from a pre-written script. We all know you save money by sending your call centers out to other countries, but your customer service level is -5 on a scale of 1-10.",1,1,,7th September 2019,"""sunk to the lowest level of quality""", (United States) ,Anchorage to Albany,1,Economy Class,3,Couple Leisure,1,0,1
United,,,Sep-19,1,1, | Hawaii to San Francisco. Nickled and dimed for everything. Forced to watch loud advertisements while seated in the smallest seats I've ever experienced on an aircraft. Really a one of a kind horrendous experience. My wife and I will never fly United again. You shouldn't either.,1,1,,6th September 2019,"""Nickled and dimed for everything""", (United States) ,Hawaii to San Francisco,1,Economy Class,1,Couple Leisure,1,0,1
United,A319,,Jul-19,2,2," |  I was recently booking a first-class fair on United.com on the mobile app on my phone. I had gone through the booking been quoted a price selected seats and when I went to push the button that read agree and purchase the pop-up on my screen was there was a problem completing your reservation. I subsequently contacted United immediately and they advised that all of the fares at that price had been sold out. I am traveling with two friends we were traveling together all the same flight all in first class. The United representative proceeded to tell me that the fair had increased $518. Now mind you, I wasn't surfing the web I had locked onto the seats I was quoted the price I had put in my credit card I'd selected seats and was merely pushing agree and purchase. United has turned into an awful airline. The food in first class is a laugh. You get a basket of chips on a five hour flight. At least on American you still get a decent meal. You call the call center that can do nothing which you on hold say that I speak with a supervisor and it is always a useless call for which you will wait at times a significant amount before somebody even picks up. I assume they had given up all pretense of having any loyalty. For first-class flyers there are no reward for regular flyers because they sell first-class to anyone including bidders up until the flight itself. There are no first-class seats saved to reward people who fly all the time. I have complained to United documentation the purchase prices the screenshots for my phone and I'm awaiting a response. If I could never fly United again I would. Except when they control the route, and they often do, they should be avoided at all times the customer service is essentially nonexistent. Anyone that has a good experience with United is merely lucky. Merely read the reviews you see here. I'm hoping for a successful result in a refund but I hardly think that would result in me being happy as I must get on their beat up old plane fly to Las Vegas in first-class where they were bring by a basket of chips and suggested that his first-class service. I'm not sure what their future is but if you apply standard business tactics you treat customers like this the future can't be that bright.",2,5,,6th September 2019,"""turned into an awful airline""", (United States) ,Washington to Las Vegas,3,First Class,3,Business,2,1,1
United,Boeing 777,,Aug-19,4,4," |  Tokyo to Honolulu. At Tokyo Narita, we avoided UA lounge that did not offer any decent drink or food. We preferred NH one. The first one was empty, the second pack. We believe that UA should close their lounge and request a Star Alliance lounge in NRT. The ANA lounge offered full meal, including sushi and on demand warm meals. Boarding was smooth in a retrofitted Boeing 777 with Polaris seats (1x2x1) that offered a perfect comfort for this 6 hours night flight. Crew was extremely attentive, and as good as to NH on this line. We understand that when UA faces real competition, they are able to provide an excellent level of service. Good news.",5,9,yes,6th September 2019,"""excellent level of service""", (United States) ,Tokyo to Honolulu,5,Business Class,5,Couple Leisure,5,1,0
United,,,Aug-19,1,2," |  Kona to Toronto via San Francisco / Chicago. The flight was typical but there three disappointing surprises along the way. The onboard food very very expensive - We had the hot dog for over $13 CDN. So the three of us paid about $40.00 CDNfor 3 hot dogs - This would cost $4.5 at Costco - a $35 savings.  There is no inflight entertainment. At the beginning of the first flight the said we need their APP just before they pulled away from the gate so I wasn't able to download. before the next flight, I downloaded it but it would not work properly on my LG4. Before we flew home, there was an update to the app so I was hopeful that I would be able to watch movies on my trip home (about 14 hrs) but, nope, it still didn't work.  There are extra fee for checked in bags - They really nickle and dime you. The one thing that did impress us is that after taking three flights, our luggage actually arrived with us - both to our destination and home.",4,3,,5th September 2019,"""really nickle and dime you""", (United States) ,Kona to Toronto via San Francisco / Chicago,3,Economy Class,4,Family Leisure,1,1,0
United,,,Sep-19,0,0," |  Newark to Chicago. For as many times as an airlines clearly states to only bring on a carry on and a personal item, no one ever checks. It is very frustrating when there are enough overhead space for a small carry on, yet everyone puts everything in the bins especially when you are not sitting there in the two rows that are designated to each one of them. They are labeled for a reason. No one should have multiple bags or the whole bin to themselves. This would not only save time if they were properly check but would stop individuals who are taking advantage of this system to not hold up the line and take more then one spot. I do applaud American Airlines for taking the time to check unlike United Airlines and I have flown with them for the last 15 years.",2,2,,5th September 2019,"""No one should have multiple bags""", (United States) ,Newark to Chicago,1,Economy Class,3,Business,1,1,0
United,,,Sep-19,5,5," |  Miami to Newark. Really impressed with the staff and overall experience. Granted, I am traveling first class, but I had everything I needed. The flight was easy to reschedule from its original day, which was necessary due to Hurricane Dorian. I was stuck on a cruise for a few extra days and it was really easy to change my flight. Onboard, the seats were comfortable and staff was helpful. Even though we boarded about 5 minutes late due to weather conditions in NJ, we were scheduled to arrive about 35 minutes early. Impressive, thanks United!",5,10,yes,5th September 2019,"""impressed with the staff""", (United States) ,Miami to Newark,5,First Class,5,Couple Leisure,5,0,5
United,,,Sep-19,1,1," |  Honolulu to San Francisco. The boarding crew were disrespectful and didn't care about your seating. Very awful manner and flight would get delayed! There was a mother who wanted to seat next to her 2 year old baby, the flight attendants instead of seating them they yelled at the mother! ",1,1,,4th September 2019,"""Very awful manner""", (United States) ,Honolulu to San Francisco,1,Economy Class,1,Couple Leisure,1,1,1
United,Boeing 737-700,,Aug-19,1,2," |  Orange County to Newark. Rescue me. I'm 5'5'' and 130 lbs. These planes are so small. The seats have no padding in them. Luckily I knew my seat mate as my head hovered over his knees to retrieve items from under my seat. And I do yoga! Two people can't pass in the aisles to get to the tiny bathrooms without becoming familiar. And only two privies! The direct TV is worthless if there is any turbulence. The movie choices are for 12-year-old boys. Think superhero. Gone are the hand held devices for controlling the ""entertainment"". Instead, money conscience engineers located the controls in the armrest. Awkward to control and easy for your neighbor to change your channel by mistake. Which happend regularly. Squeeze as many bodies in here as possible and forget about comfort. United is only interested in their bottom line. Clearly! The Greyhound bus of the skies. I do love the SNA to Newark non-stop though.",5,2,,3rd September 2019,"""Greyhound bus of the skies""", (United States) ,Orange County to Newark ,1,Economy Class,3,Couple Leisure,1,1,1
